bigram Result
"('C', 'G')",1170
"('G', 'D')",956
"('G', 'C')",710
"('D', 'G')",628
"('Em', 'C')",572
"('F', 'C')",548
"('Am', 'G')",541
"('Em', 'D')",469
"('G', 'F')",463
"('C', 'Em')",447
"('D', 'Em')",446
"('G', 'Em')",442
"('Am', 'F')",433
"('G', 'Am')",433
"('F', 'Am')",429
"('D', 'A')",421
"('D', 'C')",393
"('F', 'G')",360
"('C', 'F')",357
"('C', 'D')",319
"('Em', 'G')",312
"('G', 'G')",302
"('A', 'D')",281
"('G', 'A')",243
"('Am', 'C')",239
"('C', 'Dm')",232
"('Em', 'Am')",227
"('Dm', 'C')",216
"('D', 'Am')",213
"('Cadd9', 'G')",209
"('A', 'G')",208
"('Am', 'Em')",194
"('C', 'C')",189
"('C', 'Am')",188
"('G', 'Bm')",151
"('A', 'E')",144
"('A', 'Em')",135
"('G', 'Cadd9')",132
"('Em', 'F')",130
"('Bm', 'G')",130
"('A', 'Bm')",128
"('E', 'B')",127
"('G', 'D/F#')",117
"('Bm', 'A')",112
"('D', 'D')",110
"('A', 'A')",109
"('Am', 'D')",109
"('Em7', 'Cadd9')",109
"('B', 'F#')",106
"('E', 'A')",93
"('D/F#', 'G')",91
"('Bb', 'C')",88
"('F', 'F')",82
"('G', 'Dsus4')",80
"('Cadd9', 'Em7')",77
"('G', 'Em7')",76
"('D', 'Cadd9')",74
"('Am', 'Dm')",74
"('F#m', 'A')",74
"('A7', 'D')",72
"('C', 'Bb')",72
"('Dm', 'F')",71
"('B7', 'Em')",71
"('Cadd9', 'D')",71
"('Bm', 'C')",70
"('F#', 'E')",69
"('E', 'F#m')",69
"('Am', 'Am')",68
"('Em', 'Bm')",68
"('B', 'E')",67
"('F', 'Dm')",66
"('Dsus4', 'Cadd9')",66
"('Bb', 'F')",65
"('Em', 'A')",65
"('G', 'Dm')",64
"('Dm', 'Am')",64
"('Dm', 'Bb')",63
"('Dm', 'G')",62
"('A', 'F#m')",62
"('G/B', 'C')",59
"('E', 'Am')",57
"('Bm', 'D')",55
"('D/F#', 'Em')",55
"('C', 'E7')",54
"('Em', 'Em')",52
"('C', 'B7')",52
"('C#m', 'A')",52
"('D', 'E')",49
"('Em7', 'D')",49
"('Bm', 'F#m')",49
"('E', 'D')",47
"('F#', 'G#m')",46
"('G#m', 'E')",46
"('D', 'Em7')",45
"('Cadd9', 'D/F#')",45
"('A', 'B')",45
"('E', 'G#m')",44
"('A', 'A7')",44
"('D', 'Bm')",43
"('Em7', 'D/F#')",43
"('Dbsus2', 'Ebsus2')",42
"('F', 'Em')",41
"('E', 'E')",41
"('Fm', 'Cm')",41
"('Cm', 'Dbsus2')",41
"('Fmaj7', 'G')",41
"('Ebsus2', 'Fm')",40
"('D', 'G/B')",39
"('E7', 'Am')",38
"('E', 'C#m')",38
"('Em', 'Cadd9')",37
"('Cadd9', 'Dsus4')",37
"('A', 'C#m')",36
"('F#m', 'D')",35
"('Dsus4', 'G')",34
"('D', 'D/F#')",34
"('F', 'E')",33
"('C', 'Bm')",32
"('Bm', 'E')",32
"('G7', 'C')",32
"('G#m', 'C#m')",32
"('C', 'Am7')",32
"('D/F#', 'Cadd9')",31
"('D', 'F#m')",31
"('C#m', 'B')",31
"('B', 'A')",31
"('Cadd9', 'Cadd9')",31
"('F#m', 'E')",30
"('Em7', 'Dsus4')",30
"('Bm', 'Em')",28
"('C', 'G/B')",28
"('F', 'Fm')",28
"('Dsus4', 'Em7')",27
"('Fm', 'C')",27
"('F#m', 'Bm')",27
"('Ab', 'Gb')",27
"('E', 'G')",26
"('Am', 'Bm')",26
"('Csus2', 'G')",26
"('Bbm', 'Ab')",26
"('F#m', 'Em')",26
"('Am7', 'C')",25
"('Dm/C', 'C')",25
"('D/F#', 'Csus2')",25
"('E7', 'A')",24
"('Am', 'Fmaj7')",24
"('G', 'G7')",23
"('Em7', 'C')",23
"('D/F#', 'Em7')",23
"('F', 'Bb')",23
"('Bm', 'Bm')",22
"('Bm7', 'G')",22
"('Bb', 'Dm')",21
"('C', 'Dm/C')",21
"('Am', 'G/B')",21
"('G', 'Bm7')",21
"('Em7', 'A7')",20
"('C#m', 'D')",20
"('D7', 'G')",20
"('C', 'B')",20
"('A', 'Amaj7')",19
"('Am', 'C/G')",19
"('C/G', 'Em')",19
"('Gm', 'F')",19
"('D/F#', 'C')",19
"('D', 'Cmaj7')",19
"('B', 'Em')",19
"('Dsus4', 'Em')",19
"('G#m', 'A')",19
"('D', 'B7')",18
"('C', 'Gm')",18
"('G7', 'Cmaj7')",18
"('Esus4', 'E')",18
"('Ab', 'Cm7')",18
"('Cm7', 'Bbm7')",18
"('Bbm7', 'Bbm7/Eb')",18
"('E7', 'A7')",18
"('F', 'Gm')",17
"('F#m', 'B')",17
"('G', 'Fmaj7')",17
"('C', 'C/B')",17
"('Amaj7', 'D')",16
"('B7', 'E7')",16
"('Cm', 'G')",16
"('B', 'C#m')",16
"('Bm7', 'Em7')",15
"('Gm', 'C')",15
"('E7', 'Am7')",15
"('Em', 'A7')",15
"('Em7', 'G')",15
"('Bsus2', 'G')",15
"('G', 'Am7')",15
"('Bbm7/Eb', 'Ab')",15
"('E', 'E7')",15
"('Db', 'Bbm')",15
"('Am', 'E')",14
"('Bm', 'Am')",14
"('C', 'Cadd9')",14
"('Cadd9', 'C')",14
"('Gm', 'Dm')",14
"('C', 'Cm')",14
"('D', 'D7')",14
"('Csus2', 'Em7')",14
"('G/B', 'Am')",14
"('Gb', 'Bbm')",14
"('E', 'Asus2')",14
"('C#', 'C#')",14
"('Gm6', 'D')",13
"('F#', 'B')",13
"('Bm', 'Bb')",13
"('D', 'Bsus2')",13
"('F#m', 'G')",13
"('Asus4', 'G')",13
"('Gsus4', 'G')",13
"('G', 'Bm/F#')",13
"('Bm/F#', 'Csus2')",13
"('Em', 'Bb')",13
"('D', 'Dmaj7')",12
"('B7', 'Em7')",12
"('Cadd9', 'Em')",12
"('E', 'F#')",12
"('A7', 'Dm')",12
"('A', 'C')",12
"('C', 'Em7')",12
"('G/B', 'A')",12
"('Em', 'Am7')",12
"('Cmaj7', 'Bm')",12
"('B7', 'E')",12
"('Bb', 'Am')",12
